"Date","Price","Open","High","Low","Change %"
"Sep 14, 2020","6.8193","6.8344","6.8344","6.8193","-0.20%"
"Sep 11, 2020","6.8330","6.8361","6.8396","6.8317","-0.01%"
"Sep 10, 2020","6.8335","6.8324","6.8438","6.8270","0.04%"
"Sep 09, 2020","6.8308","6.8464","6.8565","6.8312","-0.19%"
"Sep 08, 2020","6.8435","6.8305","6.8514","6.8278","0.20%"
"Sep 07, 2020","6.8300","6.8304","6.8345","6.8267","-0.16%"
"Sep 04, 2020","6.8409","6.8425","6.8479","6.8345","-0.04%"
"Sep 03, 2020","6.8435","6.8375","6.8499","6.8243","0.09%"
"Sep 02, 2020","6.8375","6.8312","6.8392","6.8221","0.15%"
"Sep 01, 2020","6.8272","6.8445","6.8472","6.8114","-0.30%"
"Aug 31, 2020","6.8474","6.8622","6.8631","6.8422","-0.25%"
"Aug 28, 2020","6.8647","6.8937","6.8937","6.8607","-0.40%"
"Aug 27, 2020","6.8925","6.8883","6.8962","6.8742","0.10%"
"Aug 26, 2020","6.8855","6.9072","6.9074","6.8860","-0.38%"
"Aug 25, 2020","6.9116","6.9100","6.9155","6.9072","-0.09%"
"Aug 24, 2020","6.9180","6.9142","6.9214","6.9110","0.00%"
"Aug 21, 2020","6.9179","6.9100","6.9261","6.8994","0.05%"
"Aug 20, 2020","6.9143","6.9207","6.9296","6.9129","-0.07%"
"Aug 19, 2020","6.9192","6.9167","6.9234","6.9040","-0.03%"
"Aug 18, 2020","6.9215","6.9357","6.9373","6.9106","-0.15%"
"Aug 17, 2020","6.9318","6.9504","6.9504","6.9299","-0.26%"
"Aug 14, 2020","6.9501","6.9478","6.9560","6.9402","0.09%"
"Aug 13, 2020","6.9440","6.9321","6.9497","6.9309","0.11%"
"Aug 12, 2020","6.9363","6.9496","6.9578","6.9347","-0.07%"
"Aug 11, 2020","6.9413","6.9618","6.9618","6.9404","-0.28%"
"Aug 10, 2020","6.9611","6.9654","6.9745","6.9571","-0.10%"
"Aug 07, 2020","6.9680","6.9562","6.9760","6.9527","0.21%"
"Aug 06, 2020","6.9535","6.9366","6.9553","6.9355","0.24%"
"Aug 05, 2020","6.9366","6.9647","6.9675","6.9352","-0.53%"
"Aug 04, 2020","6.9735","6.9833","6.9878","6.9711","-0.11%"
"Aug 03, 2020","6.9809","6.9816","6.9875","6.9699","0.08%"
"Jul 31, 2020","6.9752","6.9928","6.9930","6.9710","-0.48%"
"Jul 30, 2020","7.0088","6.9953","7.0101","6.9924","0.10%"
"Jul 29, 2020","7.0017","7.0008","7.0072","6.9942","0.01%"
"Jul 28, 2020","7.0008","6.9878","7.0107","6.9874","0.06%"
"Jul 27, 2020","6.9964","6.9996","7.0065","6.9955","-0.29%"
"Jul 24, 2020","7.0170","7.0040","7.0247","7.0016","0.18%"
"Jul 23, 2020","7.0040","7.0084","7.0149","6.9906","0.05%"
"Jul 22, 2020","7.0002","6.9742","7.0141","6.9646","0.28%"
"Jul 21, 2020","6.9808","6.9838","6.9967","6.9799","-0.04%"
"Jul 20, 2020","6.9838","6.9936","7.0023","6.9825","-0.12%"
"Jul 17, 2020","6.9924","6.9955","7.0051","6.9913","0.04%"
"Jul 16, 2020","6.9893","6.9844","7.0038","6.9837","0.01%"
"Jul 15, 2020","6.9889","6.9931","7.0065","6.9844","-0.26%"
"Jul 14, 2020","7.0075","7.0121","7.0216","7.0041","0.14%"
"Jul 13, 2020","6.9974","7.0019","7.0068","6.9930","-0.06%"
"Jul 10, 2020","7.0019","6.9998","7.0135","6.9976","0.11%"
"Jul 09, 2020","6.9942","6.9975","7.0012","6.9802","-0.15%"
"Jul 08, 2020","7.0045","7.0233","7.0250","7.0002","-0.13%"
"Jul 07, 2020","7.0140","7.0077","7.0284","7.0028","-0.07%"
"Jul 06, 2020","7.0188","7.0637","7.0641","7.0157","-0.67%"
"Jul 03, 2020","7.0663","7.0670","7.0711","7.0598","-0.01%"
"Jul 02, 2020","7.0670","7.0628","7.0730","7.0610","-0.06%"
"Jul 01, 2020","7.0712","7.0675","7.0743","7.0567","0.08%"
"Jun 30, 2020","7.0655","7.0745","7.0806","7.0620","-0.22%"
"Jun 29, 2020","7.0811","7.0825","7.0828","7.0731","0.04%"
"Jun 24, 2020","7.0782","7.0576","7.0792","7.0511","0.27%"
"Jun 23, 2020","7.0590","7.0684","7.0891","7.0571","-0.13%"
"Jun 22, 2020","7.0684","7.0806","7.0826","7.0671","-0.06%"
"Jun 19, 2020","7.0723","7.0897","7.0923","7.0704","-0.24%"
"Jun 18, 2020","7.0894","7.0922","7.0943","7.0707","0.05%"
"Jun 17, 2020","7.0855","7.0871","7.0975","7.0837","-0.01%"
"Jun 16, 2020","7.0866","7.0755","7.0887","7.0686","-0.06%"
"Jun 15, 2020","7.0909","7.0835","7.0991","7.0835","0.11%"
"Jun 12, 2020","7.0834","7.0815","7.0891","7.0712","0.26%"
"Jun 11, 2020","7.0650","7.0605","7.0760","7.0553","0.06%"
"Jun 10, 2020","7.0609","7.0773","7.0852","7.0569","-0.23%"
"Jun 09, 2020","7.0773","7.0750","7.0932","7.0699","0.08%"
"Jun 08, 2020","7.0715","7.0834","7.0915","7.0693","-0.15%"
"Jun 05, 2020","7.0820","7.1067","7.1149","7.0808","-0.40%"
"Jun 04, 2020","7.1102","7.1187","7.1311","7.1062","-0.08%"
"Jun 03, 2020","7.1157","7.0912","7.1263","7.0910","0.20%"
"Jun 02, 2020","7.1014","7.1153","7.1238","7.0976","-0.37%"
"Jun 01, 2020","7.1278","7.1151","7.1400","7.1099","-0.13%"
"May 29, 2020","7.1372","7.1577","7.1578","7.1314","-0.13%"
"May 28, 2020","7.1463","7.1697","7.1709","7.1441","-0.33%"
"May 27, 2020","7.1697","7.1355","7.1800","7.1340","0.49%"
"May 26, 2020","7.1350","7.1333","7.1395","7.1259","-0.03%"
"May 25, 2020","7.1368","7.1324","7.1451","7.1322","0.09%"
"May 22, 2020","7.1304","7.1150","7.1462","7.1130","0.21%"
"May 21, 2020","7.1153","7.0935","7.1177","7.0926","0.31%"
"May 20, 2020","7.0935","7.1003","7.1112","7.0914","-0.08%"
"May 19, 2020","7.0992","7.1017","7.1146","7.0966","-0.15%"
"May 18, 2020","7.1097","7.1062","7.1219","7.1013","0.11%"
"May 15, 2020","7.1021","7.0990","7.1095","7.0944","0.09%"
"May 14, 2020","7.0958","7.0950","7.1034","7.0927","0.05%"
"May 13, 2020","7.0922","7.0828","7.0971","7.0823","0.13%"
"May 12, 2020","7.0828","7.0958","7.1006","7.0790","-0.23%"
"May 11, 2020","7.0992","7.0762","7.0999","7.0712","0.35%"
"May 08, 2020","7.0742","7.0744","7.0811","7.0692","-0.14%"
"May 07, 2020","7.0844","7.1058","7.1085","7.0842","-0.29%"
"May 06, 2020","7.1046","7.0622","7.1061","7.0622","0.60%"
"May 01, 2020","7.0622","7.0622","7.0622","7.0622","0.00%"
"Apr 30, 2020","7.0622","7.0659","7.0675","7.0468","-0.21%"
"Apr 29, 2020","7.0768","7.0765","7.0820","7.0704","-0.04%"
"Apr 28, 2020","7.0796","7.0834","7.0911","7.0728","-0.10%"
"Apr 27, 2020","7.0865","7.0722","7.0915","7.0705","0.06%"
"Apr 24, 2020","7.0819","7.0809","7.0893","7.0742","0.22%"
"Apr 23, 2020","7.0667","7.0841","7.0888","7.0648","-0.25%"
"Apr 22, 2020","7.0841","7.0897","7.0920","7.0775","-0.11%"
"Apr 21, 2020","7.0920","7.0823","7.0988","7.0799","0.26%"
"Apr 20, 2020","7.0736","7.0802","7.0834","7.0679","0.01%"
"Apr 17, 2020","7.0731","7.0678","7.0832","7.0654","-0.10%"
"Apr 16, 2020","7.0798","7.0723","7.0840","7.0696","0.17%"
"Apr 15, 2020","7.0676","7.0476","7.0686","7.0455","0.27%"
"Apr 14, 2020","7.0486","7.0500","7.0629","7.0400","-0.06%"
