"Date","Price","Open","High","Low","Change %"
"Sep 14, 2020","13,286.51","13,280.84","13,328.62","13,236.33","0.07%"
"Sep 13, 2020","13,277.80","13,261.16","13,279.92","13,242.81","0.18%"
"Sep 11, 2020","13,253.90","13,302.49","13,381.34","13,246.29","-0.33%"
"Sep 10, 2020","13,298.35","13,301.81","13,426.26","13,268.38","0.04%"
"Sep 09, 2020","13,292.67","13,224.92","13,331.43","13,147.45","0.58%"
"Sep 08, 2020","13,216.03","13,183.21","13,287.87","13,056.83","0.32%"
"Sep 07, 2020","13,173.86","13,214.54","13,266.67","13,149.01","-0.40%"
"Sep 04, 2020","13,227.38","13,218.40","13,284.49","13,115.26","0.13%"
"Sep 03, 2020","13,209.95","13,285.59","13,319.05","13,157.71","-0.54%"
"Sep 02, 2020","13,281.11","13,454.57","13,481.84","13,216.71","-1.25%"
"Sep 01, 2020","13,449.51","13,476.69","13,588.33","13,405.02","-0.16%"
"Aug 31, 2020","13,471.43","13,493.22","13,569.24","13,401.79","-0.11%"
"Aug 28, 2020","13,485.79","13,302.50","13,551.67","13,261.32","1.41%"
"Aug 27, 2020","13,297.89","13,453.49","13,594.68","13,162.28","-1.12%"
"Aug 26, 2020","13,448.72","13,329.07","13,462.00","13,118.17","0.93%"
"Aug 25, 2020","13,324.17","13,346.35","13,393.74","13,233.92","-0.12%"
"Aug 24, 2020","13,340.08","13,418.51","13,561.09","13,313.37","-0.57%"
"Aug 21, 2020","13,416.74","13,465.13","13,527.97","13,237.24","-0.30%"
"Aug 20, 2020","13,456.80","13,350.38","13,536.08","13,321.96","0.84%"
"Aug 19, 2020","13,344.89","13,858.79","13,889.80","13,321.01","-3.67%"
"Aug 18, 2020","13,852.90","13,763.99","13,935.78","13,688.00","0.69%"
"Aug 17, 2020","13,758.23","13,532.61","13,800.98","13,412.36","1.85%"
"Aug 14, 2020","13,508.71","13,568.92","13,632.05","13,432.62","-0.37%"
"Aug 13, 2020","13,558.78","13,298.28","13,656.93","13,270.31","2.01%"
